title,keyword,source
A smartphone-based sensing platform to model aggressive driving behaviors,expert,Human Factors in Computing Systems
"Make new friends, but keep the old: recommending people on social networking sites",expert,Human Factors in Computing Systems
The elements of computer credibility,expert,Human Factors in Computing Systems
Characterizing debate performance via aggregated twitter sentiment,expert,Human Factors in Computing Systems
The role of transparency in recommender systems,expert,Human Factors in Computing Systems
Strategies for accelerating on-line learning of hotkeys,expert,Human Factors in Computing Systems
Debugging by skilled and novice programmers,expert,Human Factors in Computing Systems
Emotion rating from short blog texts,expert,Human Factors in Computing Systems
Dips and ceilings: understanding and supporting transitions to expertise in user interfaces,expert,Human Factors in Computing Systems
FotoFile: a consumer multimedia organization and retrieval system,expert,Human Factors in Computing Systems
Promoting hotkey use through rehearsal with exposehk,expert,Human Factors in Computing Systems
Using latent semantic analysis to improve access to textual information,expert,Human Factors in Computing Systems
Remote evaluation: the network as an extension of the usability laboratory,expert,Human Factors in Computing Systems
Usability and privacy: a study of Kazaa P2P file-sharing,expert,Human Factors in Computing Systems
Text input for mobile devices: comparing model prediction to actual performance,expert,Human Factors in Computing Systems
Predictive human performance modeling made easy,expert,Human Factors in Computing Systems
Fake news detection in social networks via crowd signals,crowd,The Web Conference
Crowd teaching with imperfect labels,crowd,The Web Conference
Becoming the super turker: Increasing wages via a strategy from high earning workers,crowd,The Web Conference
CrowdGP: a Gaussian Process Model for Inferring Relevance from Crowd Annotations,crowd,The Web Conference
Towards hybrid human-AI workflows for unknown unknown detection,crowd,The Web Conference
Quality-aware dynamic task assignment in human+ ai crowd,crowd,The Web Conference
"Web-scale, schema-agnostic, end-to-end entity resolution",crowd,The Web Conference
"What is Normal, What is Strange, and What is Missing in an Knowledge Graph",crowd,The Web Conference
Evaluating the rationales of amateur investors,crowd,The Web Conference
"Computational fact-checking: Problems, state of the art, and perspectives",crowd,The Web Conference
Neural collaborative reasoning,crowd,The Web Conference
Opencrowd: A human-ai collaborative approach for finding social influencers via open-ended answers aggregation,crowd,The Web Conference
Human-guided flood mapping: From experts to the crowd,crowd,The Web Conference
Filter list generation for underserved regions,crowd,The Web Conference
Crowdsourcing detection of sampling biases in image datasets,crowd,The Web Conference
Beyond IID: three levels of generalization for question answering on knowledge bases,crowd,The Web Conference
Generating representative headlines for news stories,crowd,The Web Conference
Mining dual emotion for fake news detection,crowd,The Web Conference
Fine-grained urban flow prediction,crowd,The Web Conference
The structure of social influence in recommender networks,crowd,The Web Conference
Crowd -Machine Collaboration for Item Screening,crowd,The Web Conference
Facebook Ads as a demographic tool to measure the urban-rural divide,crowd,The Web Conference
Attention please: Your attention check questions in survey studies can be automatically answered,crowd,The Web Conference
Traveling the token world: A graph analysis of ethereum erc20 token ecosystem,crowd,The Web Conference
Text-to-SQL generation for question answering on electronic medical records,crowd,The Web Conference
Abstractive snippet generation,crowd,The Web Conference
Open intent extraction from natural language interactions,crowd,The Web Conference
What do you mean? Interpreting image classification with crowdsourced concept extraction and analysis,crowd,The Web Conference
A kernel of truth: Determining rumor veracity on twitter by diffusion pattern alone,crowd,The Web Conference
The representativeness of automated web crawls as a surrogate for human browsing,crowd,The Web Conference
Domain adaptive multi-modality neural attention network for financial forecasting,crowd,The Web Conference
Privacy-preserving AI services through data decentralization,crowd,The Web Conference
Peer grading the peer reviews: a dual-role approach for lightening the scholarly paper review process,crowd,The Web Conference
Information Elicitation from Rowdy Crowds,crowd,The Web Conference
AutoSTG: Neural Architecture Search for Predictions of Spatio-Temporal Graph✱,crowd,The Web Conference
Touch Screen Exploration of Visual Artwork for Blind People,crowd,The Web Conference
Tracing the factoids: the anatomy of information re-organization in Wikipedia articles,crowd,The Web Conference
"Desmond (XU Minghui); DARATAN, Randy Tandriansyah; and JAIMAN, Nikita. A feasibility study on crowdsourcing to monitor municipal resources in smart …",crowd,The Web Conference
What sparks joy: The AffectVec emotion database,crowd,The Web Conference
"What is normal, what is strange, and what is missing in a knowledge graph: Unified characterization via inductive summarization",crowd,The Web Conference
Local clustering in contextual multi-armed bandits,crowd,The Web Conference
Musiclynx: Exploring music through artist similarity graphs,crowd,The Web Conference
Multiple knowledge syncretic transformer for natural dialogue generation,crowd,The Web Conference
Snippext: Semi-supervised opinion mining with augmented data,crowd,The Web Conference
Cookie Swap Party: Abusing First-Party Cookies for Web Tracking,crowd,The Web Conference
Advanced semantics for commonsense knowledge extraction,crowd,The Web Conference
Are these comments triggering? predicting triggers of toxicity in online discussions,crowd,The Web Conference
Modeling and aggregation of complex annotations via annotation distances,crowd,The Web Conference
"Radflow: A recurrent, aggregated, and decomposable model for networks of time series",crowd,The Web Conference
Cooks or cobblers? Crowd creativity through combination,crowd,Human Factors in Computing Systems
Field trial of tiramisu: crowd -sourcing bus arrival times to spur co-design,crowd,Human Factors in Computing Systems
Twitch crowdsourcing: crowd contributions in short bursts of time,crowd,Human Factors in Computing Systems
# EpicPlay: Crowd -sourcing sports video highlights,crowd,Human Factors in Computing Systems
Don't hide in the crowd ! Increasing social transparency between peer workers improves crowdsourcing outcomes,crowd,Human Factors in Computing Systems
We are dynamo: Overcoming stalling and friction in collective action for crowd workers,crowd,Human Factors in Computing Systems
Shepherding the crowd : managing and providing feedback to crowd workers,crowd,Human Factors in Computing Systems
Engaging the crowd : studies of audience-performer interaction,crowd,Human Factors in Computing Systems
Human computation tasks with global constraints,crowd,Human Factors in Computing Systems
"Emergent, crowd -scale programming practice in the IDE",crowd,Human Factors in Computing Systems
CrowdMonitor: Mobile crowd sensing for assessing physical and digital activities of citizens during emergencies,crowd,Human Factors in Computing Systems
Analyzing crowd workers in mobile pay-for-answer q&a,crowd,Human Factors in Computing Systems
Bootstrapping personal gesture shortcuts with the wisdom of the crowd and handwriting recognition,crowd,Human Factors in Computing Systems
Examining crowd work and gig work through the historical lens of piecework,crowd,Human Factors in Computing Systems
""" Why would anybody do this?"" Understanding Older Adults' Motivations and Challenges in Crowd Work",crowd,Human Factors in Computing Systems
Cascade: Crowdsourcing taxonomy creation,crowd,Human Factors in Computing Systems
WearWrite: Crowd -assisted writing from smartwatches,crowd,Human Factors in Computing Systems
Evorus: A crowd -powered conversational assistant built to automate itself over time,crowd,Human Factors in Computing Systems
Warping time for more effective real-time crowdsourcing,crowd,Human Factors in Computing Systems
Cognitively inspired task design to improve user performance on crowdsourcing platforms,crowd,Human Factors in Computing Systems
Will the crowd game the algorithm? Using layperson judgments to combat misinformation on social media by downranking distrusted sources,crowd,Human Factors in Computing Systems
