title,url
Expanding taxonomies with implicit edge semantics,"https://scholar.google.com/scholar?start=20&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Learning to classify: A flow-based relation network for encrypted traffic classification,"https://scholar.google.com/scholar?start=20&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Adversarial Cooperative Imitation Learning for Dynamic Treatment Regimes✱,"https://scholar.google.com/scholar?start=40&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Selective weak supervision for neural information retrieval,"https://scholar.google.com/scholar?start=40&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Interpretable complex question answering,"https://scholar.google.com/scholar?start=40&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Clara: Clinical report auto-completion,"https://scholar.google.com/scholar?start=40&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
MicroRank: End-to-End Latency Issue Localization with Extended Spectrum Analysis in Microservice Environments,"https://scholar.google.com/scholar?start=40&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Understanding electricity-theft behavior via multi-source data,"https://scholar.google.com/scholar?start=40&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Session-aware linear item-item models for session-based recommendation,"https://scholar.google.com/scholar?start=40&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
REST: Relational Event-driven Stock Trend Forecasting,"https://scholar.google.com/scholar?start=40&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Enquire one's parent and child before decision: Fully exploit hierarchical structure for self-supervised taxonomy expansion,"https://scholar.google.com/scholar?start=40&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Understanding the performance costs and benefits of privacy-focused browser extensions,"https://scholar.google.com/scholar?start=40&q=expert+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Expert problem solving strategies for program comprehension,"https://scholar.google.com/scholar?start=0&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Typing on flat glass: examining ten-finger expert typing patterns on touch surfaces,"https://scholar.google.com/scholar?start=0&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
CommunitySourcing: engaging local crowds to perform expert work via physical kiosks,"https://scholar.google.com/scholar?start=0&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Crowdsourcing user studies with Mechanical Turk,"https://scholar.google.com/scholar?start=0&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Extensions of GOMS analyses to expert performance requiring perception of dynamic visual and auditory information,"https://scholar.google.com/scholar?start=0&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Predicting text entry speed on mobile phones,"https://scholar.google.com/scholar?start=0&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
A comparison of synchronous remote and local usability studies for an expert interface,"https://scholar.google.com/scholar?start=0&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
