title,year,conf,conf_long
A Broader Picture of Random-walk Based Graph Embedding,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Color-blind 3-Approximation for Chromatic Correlation Clustering and Improved Heuristics,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Difficulty-Aware Framework for Churn Prediction and Intervention in Games,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Graph-based Approach for Trajectory Similarity Computation in Spatial Networks,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A hyper-surface arrangement model of ranking distributions,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Novel Multi-View Clustering Method for Unknown Mapping Relationships Between Cross-View Samples,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Stagewise Hyperparameter Scheduler to Improve Generalization,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Accelerating Set Intersections over Graphs by Reducing-Merging,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Accurate Multivariate Stock Movement Prediction via Data-Axis Transformer with Multi-Level Contexts,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
ACE-NODE: Attentive Co-Evolving Neural Ordinary Differential Equations,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Adaptive Transfer Learning on Graph Neural Networks,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Aggregating Complex Annotations via Merging and Matching,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Alphacore: Data Depth based Core Decomposition,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
An Efficient and Scalable Algorithm for Estimating Kemeny's Constant of a Markov Chain on Large Graphs,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
An Efficient Framework for Balancing Submodularity and Cost,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Analysis and Applications of Class-wise Robustness in Adversarial Training,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Approximate Graph Propagation,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
MiniRocket: A Fast (Almost) Deterministic Transform for Time Series Classification,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
"Are we really making much progress? Revisiting, benchmarking and refining the Heterogeneous Graph Neural Networks",2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Attentive Heterogeneous Graph Embedding for Job Mobility Prediction,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Auction Design for Heterogeneous Bidders,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Auditing for Diversity Using Representative Examples,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Balancing Consistency and Disparity in Network Alignment,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Bavarian: Betweenness Centrality Approximation with Variance-Aware Rademacher Averages,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
BLOCKSET (Block-Aligned Serialized Trees): Reducing Inference Latency for Tree ensemble Deployment,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Breaking the Limit of Graph Neural Networks by Improving the Assortativity of Graphs with Local Mixing Patterns,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Causal models for Real Time Bidding with repeated user interactions,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Causal Understanding of Fake News Dissemination on Social Media,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Certified Robustness of Graph Neural Networks against Adversarial Structural Perturbation,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Choice Set Confounding in Discrete Choice,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Cluster-Reduce: Compressing Sketches for Distributed Data Streams,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
cM$^2$NE: Contrastive Multi-View Multiplex Network Embedding with Applications to Robust Network Alignment,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Comparing to Ground Truth is Wrong: On Evaluating GNN Explanation Methods,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Context-aware Outstanding Fact Mining from Knowledge Graphs,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
ControlBurn: Feature Selection by Sparse Forests,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Controllable Generation from Pre-trained Language Models via Inverse Prompting,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Coupled Graph ODE for Learning Interacting System Dynamics,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Cross-Network Learning with Partially Aligned Graph Convolutional Networks,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Cross-Node Federated Graph Neural Network for Spatio-Temporal Data Modeling,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
DARING: Differentiable Causal Discovery with Residual Independence,2021,KDD,Special Interest Group on Knowledge Discovery and Data Mining
