title,year,conf,conf_long
Constructing Explainable Opinion Graphs from Reviews,2021,WWW,International World Wide Web Conference
Contrastive Lexical Diffusion Coefficient: Quantifying the Stickiness of the Ordinary,2021,WWW,International World Wide Web Conference
Controllable and Diverse Text Generation in E-commerce,2021,WWW,International World Wide Web Conference
Controllable Gradient Item Retrieval,2021,WWW,International World Wide Web Conference
Controlling the Risk of Conversational Search via Reinforcement Learning,2021,WWW,International World Wide Web Conference
Conversations Gone Alright: Quantifying and Predicting Prosocial Outcomes in Online Conversations,2021,WWW,International World Wide Web Conference
Cookie Swap Party: Abusing First-Party Cookies for Web Tracking,2021,WWW,International World Wide Web Conference
Cost-Effective and Interpretable Job Skill Recommendation with Deep Reinforcement Learning,2021,WWW,International World Wide Web Conference
Cross-domain Knowledge Distillation for Retrieval-based Question Answering Systems,2021,WWW,International World Wide Web Conference
Cross-lingual Language Model Pretraining for Retrieval,2021,WWW,International World Wide Web Conference
Cross-Positional Attention for Debiasing Clicks,2021,WWW,International World Wide Web Conference
Crosslingual Topic Modeling with WikiPDA,2021,WWW,International World Wide Web Conference
CrowdGP: a Gaussian Process Model for Inferencing Relevance from Crowd Annotations,2021,WWW,International World Wide Web Conference
CurGraph: Curriculum Learning for Graph Classification,2021,WWW,International World Wide Web Conference
Curriculum CycleGAN for Textual Sentiment Domain Adaptation with Multiple Sources,2021,WWW,International World Wide Web Conference
DAPter: Preventing User Data Abuse in Deep Learning Inference Services,2021,WWW,International World Wide Web Conference
Data Poisoning Attacks and Defenses to Crowdsourcing Systems,2021,WWW,International World Wide Web Conference
DCN V2: Improved Deep & Cross Network and Practical Lessons for Web-scale Learning to Rank Systems,2021,WWW,International World Wide Web Conference
Debiasing Career Recommendations with Neural Fair Collaborative Filtering,2021,WWW,International World Wide Web Conference
Deep Co-Attention Network for Multi-View Subspace Learning,2021,WWW,International World Wide Web Conference
DeepFEC: Energy Consumption Prediction under Real-World  Driving Conditions for Smart Cities,2021,WWW,International World Wide Web Conference
