title,year,conf,conf_long
State Entropy Maximization with Random Encoders for Efficient Exploration,2021,ICML,International Conference on Machine Learning
Phasic Policy Gradient,2021,ICML,International Conference on Machine Learning
A Policy Gradient Algorithm for Learning to Learn in Multiagent Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Fundamental Tradeoffs in Distributionally Adversarial Training,2021,ICML,International Conference on Machine Learning
Outlier-Robust Optimal Transport,2021,ICML,International Conference on Machine Learning
Zeroth-Order Non-Convex Learning via Hierarchical Dual Averaging,2021,ICML,International Conference on Machine Learning
LieTransformer: Equivariant Self-Attention for Lie Groups,2021,ICML,International Conference on Machine Learning
Scalable Marginal Likelihood Estimation for Model Selection in Deep Learning,2021,ICML,International Conference on Machine Learning
Interpretable Stability Bounds for Spectral Graph Filters,2021,ICML,International Conference on Machine Learning
ViLT: Vision-and-Language Transformer Without Convolution or Region Supervision,2021,ICML,International Conference on Machine Learning
On Monotonic Linear Interpolation of Neural Network Parameters,2021,ICML,International Conference on Machine Learning
Decoupling Value and Policy for Generalization in Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Counterfactual Credit Assignment in Model-Free Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Tesseract: Tensorised Actors for Multi-Agent Reinforcement Learning,2021,ICML,International Conference on Machine Learning
LTL2Action: Generalizing LTL Instructions for Multi-Task RL,2021,ICML,International Conference on Machine Learning
Interactive Learning from Activity Description,2021,ICML,International Conference on Machine Learning
Oops I Took A Gradient: Scalable Sampling for Discrete Distributions,2021,ICML,International Conference on Machine Learning
ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,2021,ICML,International Conference on Machine Learning
Momentum Residual Neural Networks,2021,ICML,International Conference on Machine Learning
World Model as a Graph: Learning Latent Landmarks for Planning,2021,ICML,International Conference on Machine Learning
Low-Rank Sinkhorn Factorization,2021,ICML,International Conference on Machine Learning
PODS: Policy Optimization via  Differentiable Simulation,2021,ICML,International Conference on Machine Learning
Reinforcement Learning with Prototypical Representations,2021,ICML,International Conference on Machine Learning
Stochastic Sign Descent Methods: New Algorithms and Better Theory,2021,ICML,International Conference on Machine Learning
Sparsifying Networks via Subdifferential Inclusion,2021,ICML,International Conference on Machine Learning
Learning Intra-Batch Connections for Deep Metric Learning,2021,ICML,International Conference on Machine Learning
Continual Learning in the Teacher-Student Setup: Impact of Task Similarity,2021,ICML,International Conference on Machine Learning
PixelTransformer: Sample Conditioned Signal Generation,2021,ICML,International Conference on Machine Learning
GLSearch: Maximum Common Subgraph Detection via Learning to Search,2021,ICML,International Conference on Machine Learning
Neural Architecture Search without Training,2021,ICML,International Conference on Machine Learning
PC-MLP: Model-based Reinforcement Learning with Policy Cover Guided Exploration,2021,ICML,International Conference on Machine Learning
Imitation by Predicting Observations,2021,ICML,International Conference on Machine Learning
A Probabilistic Approach to Neural Network Pruning,2021,ICML,International Conference on Machine Learning
Stability and Convergence of Stochastic Gradient Clipping: Beyond Lipschitz Continuity and Smoothness,2021,ICML,International Conference on Machine Learning
What's in the Box? Exploring the Inner Life of Neural Networks with Robust Rules,2021,ICML,International Conference on Machine Learning
A Hybrid Variance-Reduced Method for Decentralized Stochastic Non-Convex Optimization,2021,ICML,International Conference on Machine Learning
Decision-Making Under Selective Labels: Optimal Finite-Domain Policies and Beyond,2021,ICML,International Conference on Machine Learning
Multiscale Invertible Generative Networks for High-Dimensional Bayesian Inference,2021,ICML,International Conference on Machine Learning
Dueling Convex Optimization,2021,ICML,International Conference on Machine Learning
Acceleration via Fractal Learning Rate Schedules,2021,ICML,International Conference on Machine Learning
From Local Structures to Size Generalization in Graph Neural Networks,2021,ICML,International Conference on Machine Learning
Scalable Computations of Wasserstein Barycenter via Input Convex Neural Networks,2021,ICML,International Conference on Machine Learning
Newton Method over Networks is Fast up to the Statistical Precision,2021,ICML,International Conference on Machine Learning
A New Representation of Successor Features for Transfer across Dissimilar Environments,2021,ICML,International Conference on Machine Learning
AutoSampling: Search for Effective Data Sampling Schedules,2021,ICML,International Conference on Machine Learning
UnICORNN: A recurrent model for learning very long time dependencies,2021,ICML,International Conference on Machine Learning
Positive-Negative Momentum: Manipulating Stochastic Gradient Noise to Improve Generalization,2021,ICML,International Conference on Machine Learning
Diversity Actor-Critic: Sample-Aware Entropy Regularization for Sample-Efficient Exploration,2021,ICML,International Conference on Machine Learning
Autoencoding Under Normalization Constraints,2021,ICML,International Conference on Machine Learning
"A New Formalism, Method and Open Issues for Zero-Shot Coordination",2021,ICML,International Conference on Machine Learning
Winograd Algorithm for AdderNet,2021,ICML,International Conference on Machine Learning
A Functional Perspective on Learning Symmetric Functions with Neural Networks,2021,ICML,International Conference on Machine Learning
"Scalable Optimal Transport in High Dimensions for Graph Distances, Embedding Alignment, and More",2021,ICML,International Conference on Machine Learning
Federated Continual Learning with Weighted Inter-client Transfer,2021,ICML,International Conference on Machine Learning
Consistent Nonparametric Methods for Network Assisted Covariate Estimation,2021,ICML,International Conference on Machine Learning
Zoo-Tuning: Adaptive Transfer from A Zoo of Models,2021,ICML,International Conference on Machine Learning
Coach-Player Multi-agent Reinforcement Learning for Dynamic Team Composition,2021,ICML,International Conference on Machine Learning
Targeted Data Acquisition for Evolving Negotiation Agents,2021,ICML,International Conference on Machine Learning
Offline Contextual Bandits with Overparameterized Models,2021,ICML,International Conference on Machine Learning
Connecting Sphere Manifolds Hierarchically for Regularization,2021,ICML,International Conference on Machine Learning
Loss Surface Simplexes for Mode Connecting Volumes and Fast Ensembling,2021,ICML,International Conference on Machine Learning
MC-LSTM: Mass-Conserving LSTM,2021,ICML,International Conference on Machine Learning
Fast Projection Onto Convex Smooth Constraints,2021,ICML,International Conference on Machine Learning
A Unified Lottery Ticket Hypothesis for Graph Neural Networks,2021,ICML,International Conference on Machine Learning
Learning Task Informed Abstractions,2021,ICML,International Conference on Machine Learning
Bayesian Deep Learning via Subnetwork Inference,2021,ICML,International Conference on Machine Learning
Leveraging Sparse Linear Layers for Debuggable Deep Networks,2021,ICML,International Conference on Machine Learning
Multiplicative Noise and Heavy Tails in Stochastic Optimization,2021,ICML,International Conference on Machine Learning
ConvexVST: A Convex Optimization Approach to Variance-stabilizing Transformation,2021,ICML,International Conference on Machine Learning
DeepWalking Backwards: From Embeddings Back to Graphs,2021,ICML,International Conference on Machine Learning
Reinforcement Learning for Cost-Aware Markov Decision Processes,2021,ICML,International Conference on Machine Learning
What Are Bayesian Neural Network Posteriors Really Like?,2021,ICML,International Conference on Machine Learning
Spectral Smoothing Unveils Phase Transitions in Hierarchical Variational Autoencoders,2021,ICML,International Conference on Machine Learning
Provably Efficient Learning of Transferable Rewards,2021,ICML,International Conference on Machine Learning
Bias-Variance Reduced Local SGD for Less Heterogeneous Federated  Learning,2021,ICML,International Conference on Machine Learning
Learning Routines for Effective Off-Policy Reinforcement Learning,2021,ICML,International Conference on Machine Learning
PID Accelerated Value Iteration Algorithm,2021,ICML,International Conference on Machine Learning
Not All Memories are Created Equal: Learning to Forget by Expiring,2021,ICML,International Conference on Machine Learning
Efficient Message Passing for 0–1 ILPs with Binary Decision Diagrams,2021,ICML,International Conference on Machine Learning
Weisfeiler and Lehman Go Topological: Message Passing Simplicial Networks,2021,ICML,International Conference on Machine Learning
Efficient Differentiable Simulation of Articulated Bodies,2021,ICML,International Conference on Machine Learning
Demonstration-Conditioned Reinforcement Learning for Few-Shot Imitation,2021,ICML,International Conference on Machine Learning
"A Free Lunch From ANN: Towards Efficient, Accurate Spiking Neural Networks Calibration",2021,ICML,International Conference on Machine Learning
Inverse Constrained Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Breaking the Limits of Message Passing Graph Neural Networks,2021,ICML,International Conference on Machine Learning
Global Optimality Beyond Two Layers: Training Deep ReLU Networks via Convex Programs,2021,ICML,International Conference on Machine Learning
Provably Strict Generalisation Benefit for Equivariant Models,2021,ICML,International Conference on Machine Learning
KNAS: Green Neural Architecture Search,2021,ICML,International Conference on Machine Learning
Variational Data Assimilation with a Learned Inverse Observation Operator,2021,ICML,International Conference on Machine Learning
Distributed Second Order Methods with Fast Rates and Compressed Communication,2021,ICML,International Conference on Machine Learning
HardCoRe-NAS: Hard Constrained diffeRentiable Neural Architecture Search,2021,ICML,International Conference on Machine Learning
Unbalanced minibatch Optimal Transport; applications to Domain Adaptation,2021,ICML,International Conference on Machine Learning
Unifying Vision-and-Language Tasks via Text Generation,2021,ICML,International Conference on Machine Learning
Generative Video Transformer: Can Objects be the Words?,2021,ICML,International Conference on Machine Learning
Variance Reduction via Primal-Dual Accelerated Dual Averaging for Nonsmooth Convex Finite-Sums,2021,ICML,International Conference on Machine Learning
Deeply-Debiased Off-Policy Interval Estimation,2021,ICML,International Conference on Machine Learning
Explainable Automated Graph Representation Learning with Hyperparameter Importance,2021,ICML,International Conference on Machine Learning
Model-Based Reinforcement Learning via Latent-Space Collocation,2021,ICML,International Conference on Machine Learning
Generative Adversarial Networks for Markovian Temporal Dynamics: Stochastic Continuous Data Generation,2021,ICML,International Conference on Machine Learning
Offline Reinforcement Learning with Pseudometric Learning,2021,ICML,International Conference on Machine Learning
Self-Tuning for Data-Efficient Deep Learning,2021,ICML,International Conference on Machine Learning
Directional Graph Networks,2021,ICML,International Conference on Machine Learning
Efficient Generative Modelling of Protein Structure Fragments using a Deep Markov Model,2021,ICML,International Conference on Machine Learning
Parameter-free Locally Accelerated Conditional Gradients,2021,ICML,International Conference on Machine Learning
Vector Quantized Models for Planning,2021,ICML,International Conference on Machine Learning
"""Hey, that's not an ODE"": Faster ODE Adjoints via Seminorms",2021,ICML,International Conference on Machine Learning
Preferential Temporal Difference Learning,2021,ICML,International Conference on Machine Learning
On the Optimality of Batch Policy Optimization Algorithms,2021,ICML,International Conference on Machine Learning
SPADE: A Spectral Method for Black-Box Adversarial Robustness Evaluation,2021,ICML,International Conference on Machine Learning
How Framelets Enhance Graph Neural Networks,2021,ICML,International Conference on Machine Learning
BORE: Bayesian Optimization by Density-Ratio Estimation,2021,ICML,International Conference on Machine Learning
Relative Positional Encoding for Transformers with Linear Complexity,2021,ICML,International Conference on Machine Learning
Learning Node Representations Using Stationary Flow Prediction on Large Payment and Cash Transaction Networks,2021,ICML,International Conference on Machine Learning
Is Space-Time Attention All You Need for Video Understanding?,2021,ICML,International Conference on Machine Learning
Order Matters: Probabilistic Modeling of Node Sequence for Graph Generation,2021,ICML,International Conference on Machine Learning
Dataset Dynamics via Gradient Flows in Probability Space,2021,ICML,International Conference on Machine Learning
Parallelizing Legendre Memory Unit Training,2021,ICML,International Conference on Machine Learning
Global inducing point variational posteriors for Bayesian neural networks and deep Gaussian processes,2021,ICML,International Conference on Machine Learning
RRL: Resnet as representation for Reinforcement Learning,2021,ICML,International Conference on Machine Learning
iDARTS: Differentiable Architecture Search with Stochastic Implicit Gradients,2021,ICML,International Conference on Machine Learning
Discovering symbolic policies with deep reinforcement learning,2021,ICML,International Conference on Machine Learning
Randomized Entity-wise Factorization for Multi-Agent Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Federated  Deep AUC Maximization for Hetergeneous Data with a Constant Communication Complexity,2021,ICML,International Conference on Machine Learning
CATE: Computation-aware Neural Architecture Encoding with Transformers,2021,ICML,International Conference on Machine Learning
Neural Rough Differential Equations for Long Time Series,2021,ICML,International Conference on Machine Learning
CombOptNet: Fit the Right NP-Hard Problem by Learning Integer Programming Constraints,2021,ICML,International Conference on Machine Learning
Structured Convolutional Kernel Networks for Airline Crew Scheduling,2021,ICML,International Conference on Machine Learning
Affine Invariant Analysis of Frank-Wolfe on Strongly Convex Sets,2021,ICML,International Conference on Machine Learning
Generating images with sparse representations,2021,ICML,International Conference on Machine Learning
Randomized Algorithms for Submodular Function Maximization with a $k$-System Constraint,2021,ICML,International Conference on Machine Learning
Optimization of Graph Neural Networks: Implicit Acceleration by Skip Connections and More Depth,2021,ICML,International Conference on Machine Learning
Communication-Efficient Distributed Optimization with Quantized Preconditioners,2021,ICML,International Conference on Machine Learning
Actionable Models: Unsupervised Offline Reinforcement Learning of Robotic Skills,2021,ICML,International Conference on Machine Learning
Learning Neural Network Subspaces,2021,ICML,International Conference on Machine Learning
From Poincaré Recurrence to Convergence in Imperfect Information Games: Finding Equilibrium via Regularization,2021,ICML,International Conference on Machine Learning
Improved Contrastive Divergence Training of Energy-Based Models,2021,ICML,International Conference on Machine Learning
On Estimation in Latent Variable Models,2021,ICML,International Conference on Machine Learning
Representation Matters: Offline Pretraining for Sequential Decision Making,2021,ICML,International Conference on Machine Learning
From Local to Global Norm Emergence: Dissolving Self-reinforcing Substructures with Incremental Social Instruments,2021,ICML,International Conference on Machine Learning
Learning and Planning in Average-Reward Markov Decision Processes,2021,ICML,International Conference on Machine Learning
Just Train Twice: Improving Group Robustness without Training Group Information,2021,ICML,International Conference on Machine Learning
High Confidence Generalization for Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Poolingformer: Long Document Modeling with Pooling Attention,2021,ICML,International Conference on Machine Learning
Moreau-Yosida $f$-divergences,2021,ICML,International Conference on Machine Learning
Multi-Task Reinforcement Learning with Context-based Representations,2021,ICML,International Conference on Machine Learning
Just How Toxic is Data Poisoning? A Unified Benchmark for Backdoor and Data Poisoning Attacks,2021,ICML,International Conference on Machine Learning
Online Graph Dictionary Learning,2021,ICML,International Conference on Machine Learning
Few-Shot Neural Architecture Search,2021,ICML,International Conference on Machine Learning
The Power of Adaptivity for Stochastic Submodular Cover,2021,ICML,International Conference on Machine Learning
Data Augmentation for Meta-Learning,2021,ICML,International Conference on Machine Learning
Beyond Variance Reduction: Understanding the True Impact of Baselines on Policy Optimization,2021,ICML,International Conference on Machine Learning
The Heavy-Tail Phenomenon in SGD,2021,ICML,International Conference on Machine Learning
Cooperative Exploration for Multi-Agent Deep Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Training Graph Neural Networks with 1000 Layers,2021,ICML,International Conference on Machine Learning
PEBBLE: Feedback-Efficient Interactive Reinforcement Learning via Relabeling Experience and Unsupervised Pre-training,2021,ICML,International Conference on Machine Learning
A Bit More Bayesian: Domain-Invariant Learning with Uncertainty,2021,ICML,International Conference on Machine Learning
Partially Observed Exchangeable Modeling,2021,ICML,International Conference on Machine Learning
GraphNorm: A Principled Approach to Accelerating Graph Neural Network Training,2021,ICML,International Conference on Machine Learning
Keyframe-Focused Visual Imitation Learning,2021,ICML,International Conference on Machine Learning
Lipschitz normalization for self-attention layers with application to graph neural networks,2021,ICML,International Conference on Machine Learning
Stochastic Iterative Graph Matching,2021,ICML,International Conference on Machine Learning
Optimal regret algorithm for Pseudo-1d Bandit Convex Optimization,2021,ICML,International Conference on Machine Learning
MURAL: Meta-Learning Uncertainty-Aware Rewards for Outcome-Driven Reinforcement Learning,2021,ICML,International Conference on Machine Learning
A Wasserstein Minimax Framework for Mixed Linear Regression,2021,ICML,International Conference on Machine Learning
Learning While Playing in Mean-Field Games: Convergence and Optimality,2021,ICML,International Conference on Machine Learning
A Practical Method for Constructing Equivariant Multilayer Perceptrons for Arbitrary Matrix Groups,2021,ICML,International Conference on Machine Learning
Bayesian Optimization over Hybrid Spaces,2021,ICML,International Conference on Machine Learning
The Emergence of Individuality,2021,ICML,International Conference on Machine Learning
Catformer: Designing Stable Transformers via Sensitivity Analysis,2021,ICML,International Conference on Machine Learning
Optimal Transport Kernels for Sequential and Parallel Neural Architecture Search,2021,ICML,International Conference on Machine Learning
Training Quantized Neural Networks to Global Optimality via Semidefinite Programming,2021,ICML,International Conference on Machine Learning
Monotonic Robust Policy Optimization with Model Discrepancy,2021,ICML,International Conference on Machine Learning
Federated Composite Optimization,2021,ICML,International Conference on Machine Learning
LARNet: Lie Algebra Residual Network for Face Recognition,2021,ICML,International Conference on Machine Learning
Explore Visual Concept Formation for Image Classification,2021,ICML,International Conference on Machine Learning
Re-understanding Finite-State Representations of Recurrent Policy Networks,2021,ICML,International Conference on Machine Learning
Probabilistic Sequential Shrinking: A Best Arm Identification Algorithm for Stochastic Bandits with Corruptions,2021,ICML,International Conference on Machine Learning
Communication-Efficient Distributed SVD via Local Power Iterations,2021,ICML,International Conference on Machine Learning
Uncertainty Weighted Actor-Critic for Offline Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Dense for the Price of Sparse: Improved Performance of Sparsely Initialized Networks via a Subspace Offset,2021,ICML,International Conference on Machine Learning
Goal-Conditioned Reinforcement Learning with Imagined Subgoals,2021,ICML,International Conference on Machine Learning
Joining datasets via data augmentation in the label space for neural networks,2021,ICML,International Conference on Machine Learning
What Does Rotation Prediction Tell Us about Classifier Accuracy under Varying Testing Environments?,2021,ICML,International Conference on Machine Learning
A Unified Generative Adversarial Network Training via Self-Labeling and Self-Attention,2021,ICML,International Conference on Machine Learning
Generalizable Episodic Memory for Deep Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Instance Specific Approximations for Submodular Maximization,2021,ICML,International Conference on Machine Learning
Differentiable Spatial Planning using Transformers,2021,ICML,International Conference on Machine Learning
Improving Breadth-Wise Backpropagation in Graph Neural Networks Helps Learning Long-Range Dependencies.,2021,ICML,International Conference on Machine Learning
FOP: Factorizing Optimal Joint Policy of Maximum-Entropy Multi-Agent Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Unbiased Gradient Estimation in Unrolled Computation Graphs with Persistent Evolution Strategies,2021,ICML,International Conference on Machine Learning
SECANT: Self-Expert Cloning for Zero-Shot Generalization of Visual Policies,2021,ICML,International Conference on Machine Learning
Robust Asymmetric Learning in POMDPs,2021,ICML,International Conference on Machine Learning
Submodular Maximization subject to a Knapsack Constraint: Combinatorial Algorithms with Near-optimal Adaptive Complexity,2021,ICML,International Conference on Machine Learning
Accelerate CNNs from Three Dimensions: A Comprehensive Pruning Framework,2021,ICML,International Conference on Machine Learning
Causal Curiosity: RL Agents Discovering Self-supervised Experiments for Causal Representation Learning,2021,ICML,International Conference on Machine Learning
Heterogeneity for the Win: One-Shot Federated Clustering,2021,ICML,International Conference on Machine Learning
"Auto-NBA: Efficient and Effective Search Over the Joint Space of Networks, Bitwidths, and Accelerators",2021,ICML,International Conference on Machine Learning
A Deep Reinforcement Learning Approach to Marginalized Importance Sampling with the Successor Representation,2021,ICML,International Conference on Machine Learning
