title,year,conf,conf_long
"The Undergraduate Games Corpus: A Dataset for Machine Perception of
      Interactive Media",2021,AAAI,the Association for the Advancement of Artificial Intelligence
Efficient Poverty Mapping from High Resolution Remote Sensing Images,2021,AAAI,the Association for the Advancement of Artificial Intelligence
Optimal Kidney Exchange with Immunosuppressants,2021,AAAI,the Association for the Advancement of Artificial Intelligence
TreeCaps: Tree-Based Capsule Networks for Source Code Processing,2021,AAAI,the Association for the Advancement of Artificial Intelligence
A Bottom-Up DAG Structure Extraction Model for Math Word Problems,2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Diagnose Like A Pathologist: Weakly-Supervised Pathologist-Tree Network
      for Slide-Level Immunohistochemical Scoring",2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Modeling the Momentum Spillover Effect for Stock Prediction via
      Attribute-Driven Graph Attention Networks",2021,AAAI,the Association for the Advancement of Artificial Intelligence
Differentially Private Link Prediction with Protected Connections,2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Graph Neural Network to Dilute Outliers for Refactoring Monolith
      Application",2021,AAAI,the Association for the Advancement of Artificial Intelligence
KAN: Knowledge-aware Attention Network for Fake News Detection,2021,AAAI,the Association for the Advancement of Artificial Intelligence
"When Hashing Met Matching: Efficient Spatio-Temporal Search for
      Ridesharing",2021,AAAI,the Association for the Advancement of Artificial Intelligence
Gene Regulatory Network Inference using 3D Convolutional Neural Network,2021,AAAI,the Association for the Advancement of Artificial Intelligence
Universal Trading for Order Execution with Oracle Policy Distillation,2021,AAAI,the Association for the Advancement of Artificial Intelligence
Dual-Octave Convolution for Accelerated Parallel MR Image Reconstruction,2021,AAAI,the Association for the Advancement of Artificial Intelligence
MIMOSA: Multi-constraint Molecule Sampling for Molecule Optimization,2021,AAAI,the Association for the Advancement of Artificial Intelligence
"ECG ODE-GAN: Learning Ordinary Differential Equations of ECG Dynamics via
      Generative Adversarial Learning",2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Towered Actor Critic For Handling Multiple Action Types In Reinforcement
      Learning For Drug Discovery",2021,AAAI,the Association for the Advancement of Artificial Intelligence
Hierarchical Graph Convolution Network for Traffic Forecasting,2021,AAAI,the Association for the Advancement of Artificial Intelligence
Automated Lay Language Summarization of Biomedical Scientific Reviews,2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Sub-Seasonal Climate Forecasting via Machine Learning: Challenges,
      Analysis, and Advances",2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Compound Word Transformer: Learning to Compose Full-Song Music over
      Dynamic Directed Hypergraphs",2021,AAAI,the Association for the Advancement of Artificial Intelligence
Modeling the Compatibility of Stem Tracks to Generate Music Mashups,2021,AAAI,the Association for the Advancement of Artificial Intelligence
SDGNN: Learning Node Representation for Signed Directed Networks,2021,AAAI,the Association for the Advancement of Artificial Intelligence
The Causal Learning of Retail Delinquency,2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Deep Portfolio Optimization via Distributional Prediction of Residual
      Factors",2021,AAAI,the Association for the Advancement of Artificial Intelligence
Complex Coordinate-Based Meta-Analysis with Probabilistic Programming,2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Who You Would Like to Share With? A Study of Share Recommendation in
      Social E-commerce",2021,AAAI,the Association for the Advancement of Artificial Intelligence
Estimating Calibrated Individualized Survival Curves with Deep Learning,2021,AAAI,the Association for the Advancement of Artificial Intelligence
Deep Contextual Clinical Prediction with Reverse Distillation,2021,AAAI,the Association for the Advancement of Artificial Intelligence
Learning to Stop: Dynamic Simulation Monte-Carlo Tree Search,2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Predicting Livelihood Indicators from Community-Generated Street-Level
      Imagery",2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Deep Conservation: A Latent-Dynamics Model for Exact Satisfaction of
      Physical Conservation Laws",2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Two-Stream Convolution Augmented Transformer for Human Activity
      Recognition",2021,AAAI,the Association for the Advancement of Artificial Intelligence
Traffic Flow Prediction with Vehicle Trajectories,2021,AAAI,the Association for the Advancement of Artificial Intelligence
RevMan: Revenue-aware Multi-task Online Insurance Recommendation,2021,AAAI,the Association for the Advancement of Artificial Intelligence
MeInGame: Create a Game Character Face from a Single Portrait,2021,AAAI,the Association for the Advancement of Artificial Intelligence
Community-Aware Multi-Task Transportation Demand Prediction,2021,AAAI,the Association for the Advancement of Artificial Intelligence
"Asynchronous Stochastic Gradient Descent for Extreme-Scale Recommender
      Systems",2021,AAAI,the Association for the Advancement of Artificial Intelligence
"In-game Residential Home Planning via Visual Context-aware Global Relation
      Learning",2021,AAAI,the Association for the Advancement of Artificial Intelligence
Relational Classification of Biological Cells in Microscopy Images,2021,AAAI,the Association for the Advancement of Artificial Intelligence
Deep Style Transfer for Line Drawings,2021,AAAI,the Association for the Advancement of Artificial Intelligence
