title,year,conf,conf_long
AdaSGN: Adapting Joint Number and Model Size for Efficient Skeleton-Based Action Recognition,2021,ICCV,International Conference on Computer Vision
C2N: Practical Generative Noise Modeling for Real-World Denoising,2021,ICCV,International Conference on Computer Vision
Continual Learning on Noisy Data Streams via Self-Purified Replay,2021,ICCV,International Conference on Computer Vision
FOVEA: Foveated Image Magnification for Autonomous Navigation,2021,ICCV,International Conference on Computer Vision
PlenOctrees for Real-Time Rendering of Neural Radiance Fields,2021,ICCV,International Conference on Computer Vision
Entropy Maximization and Meta Classification for Out-of-Distribution Detection in Semantic Segmentation,2021,ICCV,International Conference on Computer Vision
Specificity-Preserving RGB-D Saliency Detection,2021,ICCV,International Conference on Computer Vision
3DVG-Transformer: Relation Modeling for Visual Grounding on Point Clouds,2021,ICCV,International Conference on Computer Vision
4D-Net for Learned Multi-Modal Alignment,2021,ICCV,International Conference on Computer Vision
Patch Craft: Video Denoising by Deep Modeling and Patch Matching,2021,ICCV,International Conference on Computer Vision
Image Manipulation Detection by Multi-View Multi-Scale Supervision,2021,ICCV,International Conference on Computer Vision
Perturbed Self-Distillation: Weakly Supervised Large-Scale Point Cloud Semantic Segmentation,2021,ICCV,International Conference on Computer Vision
Cherry-Picking Gradients: Learning Low-Rank Embeddings of Visual Data via Differentiable Cross-Approximation,2021,ICCV,International Conference on Computer Vision
Ask&Confirm: Active Detail Enriching for Cross-Modal Retrieval With Partial Query,2021,ICCV,International Conference on Computer Vision
EventHands: Real-Time Neural 3D Hand Pose Estimation From an Event Stream,2021,ICCV,International Conference on Computer Vision
Composable Augmentation Encoding for Video Representation Learning,2021,ICCV,International Conference on Computer Vision
Exploiting Explanations for Model Inversion Attacks,2021,ICCV,International Conference on Computer Vision
Semantic Diversity Learning for Zero-Shot Multi-Label Classification,2021,ICCV,International Conference on Computer Vision
Describing and Localizing Multiple Changes With Transformers,2021,ICCV,International Conference on Computer Vision
Score-Based Point Cloud Denoising,2021,ICCV,International Conference on Computer Vision
Panoptic Segmentation of Satellite Image Time Series With Convolutional Temporal Attention Networks,2021,ICCV,International Conference on Computer Vision
Focus on the Positives: Self-Supervised Learning for Biodiversity Monitoring,2021,ICCV,International Conference on Computer Vision
Bridging Unsupervised and Supervised Depth From Focus via All-in-Focus Supervision,2021,ICCV,International Conference on Computer Vision
Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction Without Convolutions,2021,ICCV,International Conference on Computer Vision
DOLG: Single-Stage Image Retrieval With Deep Orthogonal Fusion of Local and Global Features,2021,ICCV,International Conference on Computer Vision
Light Source Guided Single-Image Flare Removal From Unpaired Data,2021,ICCV,International Conference on Computer Vision
Learning Bias-Invariant Representation by Cross-Sample Mutual Information Minimization,2021,ICCV,International Conference on Computer Vision
Selective Feature Compression for Efficient Activity Recognition Inference,2021,ICCV,International Conference on Computer Vision
Attention-Based Multi-Reference Learning for Image Super-Resolution,2021,ICCV,International Conference on Computer Vision
Spatial-Temporal Transformer for Dynamic Scene Graph Generation,2021,ICCV,International Conference on Computer Vision
Deep Transport Network for Unsupervised Video Object Segmentation,2021,ICCV,International Conference on Computer Vision
RDI-Net: Relational Dynamic Inference Networks,2021,ICCV,International Conference on Computer Vision
Densely Guided Knowledge Distillation Using Multiple Teacher Assistants,2021,ICCV,International Conference on Computer Vision
Pi-NAS: Improving Neural Architecture Search by Reducing Supernet Training Consistency Shift,2021,ICCV,International Conference on Computer Vision
ARAPReg: An As-Rigid-As Possible Regularization Loss for Learning Deformable Shape Generators,2021,ICCV,International Conference on Computer Vision
Online Refinement of Low-Level Feature Based Activation Map for Weakly Supervised Object Localization,2021,ICCV,International Conference on Computer Vision
Grounding Consistency: Distilling Spatial Common Sense for Precise Visual Relationship Detection,2021,ICCV,International Conference on Computer Vision
Long-Term Temporally Consistent Unpaired Video Translation From Simulated Surgical 3D Data,2021,ICCV,International Conference on Computer Vision
Bridging the Gap Between Label- and Reference-Based Synthesis in Multi-Attribute Image-to-Image Translation,2021,ICCV,International Conference on Computer Vision
A Broad Study on the Transferability of Visual Representations With Contrastive Learning,2021,ICCV,International Conference on Computer Vision
TempNet: Online Semantic Segmentation on Large-Scale Point Cloud Series,2021,ICCV,International Conference on Computer Vision
Bayesian Deep Basis Fitting for Depth Completion With Uncertainty,2021,ICCV,International Conference on Computer Vision
Query Adaptive Few-Shot Object Detection With Heterogeneous Graph Convolutional Networks,2021,ICCV,International Conference on Computer Vision
ResRep: Lossless CNN Pruning via Decoupling Remembering and Forgetting,2021,ICCV,International Conference on Computer Vision
P2-Net: Joint Description and Detection of Local Features for Pixel and Point Matching,2021,ICCV,International Conference on Computer Vision
Generalize Then Adapt: Source-Free Domain Adaptive Semantic Segmentation,2021,ICCV,International Conference on Computer Vision
Cross-Modality Person Re-Identification via Modality Confusion and Center Aggregation,2021,ICCV,International Conference on Computer Vision
T-Net: Effective Permutation-Equivariant Network for Two-View Correspondence Learning,2021,ICCV,International Conference on Computer Vision
Temporal Cue Guided Video Highlight Detection With Low-Rank Audio-Visual Fusion,2021,ICCV,International Conference on Computer Vision
Adversarial VQA: A New Benchmark for Evaluating the Robustness of VQA Models,2021,ICCV,International Conference on Computer Vision
S3VAADA: Submodular Subset Selection for Virtual Adversarial Active Domain Adaptation,2021,ICCV,International Conference on Computer Vision
Cross-Sentence Temporal and Semantic Relations in Video Activity Localisation,2021,ICCV,International Conference on Computer Vision
StructDepth: Leveraging the Structural Regularities for Self-Supervised Indoor Depth Estimation,2021,ICCV,International Conference on Computer Vision
Feature Interactive Representation for Point Cloud Registration,2021,ICCV,International Conference on Computer Vision
Walk in the Cloud: Learning Curves for Point Clouds Shape Analysis,2021,ICCV,International Conference on Computer Vision
LSG-CPD: Coherent Point Drift With Local Surface Geometry for Point Cloud Registration,2021,ICCV,International Conference on Computer Vision
ISD: Self-Supervised Learning by Iterative Similarity Distillation,2021,ICCV,International Conference on Computer Vision
An Empirical Study of the Collapsing Problem in Semi-Supervised 2D Human Pose Estimation,2021,ICCV,International Conference on Computer Vision
Self-Supervised Neural Networks for Spectral Snapshot Compressive Imaging,2021,ICCV,International Conference on Computer Vision
Group-Aware Contrastive Regression for Action Quality Assessment,2021,ICCV,International Conference on Computer Vision
